--  EBBR
-- RWY 01
CIV  |   |1|               |               |CIV1F  | EBBR | 01  | F060 |       |        | 01
DENUT|   |1|               |               |DENUT8F| EBBR | 01  | F060 |       |        | 01
ELSIK|   |1|               |               |ELSIK2F| EBBR | 01  | F060 |       | EBTRANA EBTRANB | 01
HELEN|   |1|               |               |HELEN8F| EBBR | 01  | F060 |       |        | 01
KOK  |   |1|               |               |KOK2F  | EBBR | 01  | F060 |       |        | 01
LNO  |   |1|               |               |LNO7F  | EBBR | 01  | F060 |       |        | 01
NIK  |   |1|               |               |NIK5F  | EBBR | 01  | F060 | *EHAM |        | 01
PITES|   |1|               |               |PITES7F| EBBR | 01  | F060 |       |        | 01
ROUSY|   |1|               |               |ROUSY7F| EBBR | 01  | F060 |       |        | 01
SOPOK|   |1|               |               |SOPOK7F| EBBR | 01  | F060 |       |        | 01
SPI  |   |1|               |               |SPI7F  | EBBR | 01  | F060 |       |        | 01
-- RWY 07 L
CIV  |   |1|               |               |CIV3T  | EBBR | 07L | F060 |       |        | 07L
DENUT|   |1|               |               |DENUT3T| EBBR | 07L | F060 |       |        | 07L
ELSIK|   |1|               |               |ELSIK3T| EBBR | 07L | F060 |       | EBTRANA EBTRANB | 07L
HELEN|   |1|               |               |HELEN3T| EBBR | 07L | F060 |       |        | 07L
KOK  |   |1|               |               |KOK3T  | EBBR | 07L | F060 |       |        | 07L
LNO  |   |1|               |               |LNO3T  | EBBR | 07L | F060 |       |        | 07L
NIK  |   |1|               |               |NIK3T  | EBBR | 07L | F060 | *EHAM |        | 07L
PITES|   |1|               |               |PITES3T| EBBR | 07L | F060 |       |        | 07L
ROUSY|   |1|               |               |ROUSY3T| EBBR | 07L | F060 |       |        | 07L
SOPOK|   |1|               |               |SOPOK3T| EBBR | 07L | F060 |       |        | 07L
SPI  |   |1|               |               |SPI3T  | EBBR | 07L | F060 |       |        | 07L
-- RWY 07 R
CIV  |   |1|               |               |CIV3V  | EBBR | 07R | F060 |       |        | 07R
DENUT|   |1|               |               |DENUT3V| EBBR | 07R | F060 |       |        | 07R
ELSIK|   |1|               |               |ELSIK3V| EBBR | 07R | F060 |       | EBTRANA EBTRANB | 07R
HELEN|   |1|               |               |HELEN3V| EBBR | 07R | F060 |       |        | 07R
KOK  |   |1|               |               |KOK3V  | EBBR | 07R | F060 |       |        | 07R
LNO  |   |1|               |               |LNO3V  | EBBR | 07R | F060 |       |        | 07R
NIK  |   |1|               |               |NIK3V  | EBBR | 07R | F060 | *EHAM |        | 07R
PITES|   |1|               |               |PITES3V| EBBR | 07R | F060 |       |        | 07R
ROUSY|   |1|               |               |ROUSY3V| EBBR | 07R | F060 |       |        | 07R
SOPOK|   |1|               |               |SOPOK3V| EBBR | 07R | F060 |       |        | 07R
SPI  |   |1|               |               |SPI3V  | EBBR | 07R | F060 |       |        | 07R
-- RWY 19
CIV  |   |1|               |               |CIV2L  | EBBR | 19  | F060 |       |        | 19
DENUT|   |1|    0345       |     2044      |DENUT8L| EBBR | 19  | F060 |       |        | 19
DENUT|   |1|    2045       |     0344      |DENUT7N| EBBR | 19  | F060 |       |        | 19
ELSIK|   |1|               |               |ELSIK2L| EBBR | 19  | F060 |       | EBTRANA EBTRANB | 19
HELEN|   |1|    0345       |     2044      |HELEN6L| EBBR | 19  | F060 |       |        | 19
HELEN|   |1|    2045       |     0344      |HELEN6N| EBBR | 19  | F060 |       |        | 19
KOK  |   |1|               |               |KOK1N  | EBBR | 19  | F060 |       |        | 19
